排序,线路,优选IP,丢包,延迟,速度,带宽,Colo链接,更新时间
1,电信,172.64.82.114,0.00%,136.85ms,6.92mb/s,55.36mb,http://172.64.82.114/cdn-cgi/trace,2024/04/09 01:42:07
2,电信,198.41.194.162,0.00%,133.42ms,5.43mb/s,43.44mb,http://198.41.194.162/cdn-cgi/trace,2024/04/09 01:42:07
3,电信,198.41.208.15,0.00%,137.10ms,4.71mb/s,37.68mb,http://198.41.208.15/cdn-cgi/trace,2024/04/09 01:42:07
4,电信,162.159.140.85,0.00%,133.65ms,4.48mb/s,35.84mb,http://162.159.140.85/cdn-cgi/trace,2024/04/09 01:42:07
5,电信,172.64.52.127,0.00%,131.46ms,4.14mb/s,33.12mb,http://172.64.52.127/cdn-cgi/trace,2024/04/09 01:42:07
6,电信,162.159.61.183,0.00%,136.58ms,4.09mb/s,32.72mb,http://162.159.61.183/cdn-cgi/trace,2024/04/09 01:42:07
7,电信,172.64.91.69,0.00%,137.64ms,3.24mb/s,25.92mb,http://172.64.91.69/cdn-cgi/trace,2024/04/09 01:42:07
8,电信,172.64.48.226,0.00%,136.35ms,2.25mb/s,18mb,http://172.64.48.226/cdn-cgi/trace,2024/04/09 01:42:07
9,电信,162.159.24.131,0.00%,136.59ms,2.04mb/s,16.32mb,http://162.159.24.131/cdn-cgi/trace,2024/04/09 01:42:07
10,电信,173.245.49.194,0.00%,136.43ms,0.53mb/s,4.24mb,http://173.245.49.194/cdn-cgi/trace,2024/04/09 01:42:07
